name,distance,lat,lon
Melbourne,0,-37.814,144.9633
Ballarat,115,-37.5622,143.8503
Ararat,198,-37.2861,142.9317
Stawell,237,-37.0584,142.7767
Horsham,300,-36.7151,142.1998
Dimboola,334,-36.4597,142.0343
Nhill,374,-36.3333,141.65
Kaniva,412,-36.3789,141.2381
Bordertown,450,-36.3114,140.7711
Keith,500,-36.0999,140.3569
Tintinara,540,-35.8813,140.0511
Coonalpyn,570,-35.695,139.857
Tailem Bend,600,-35.2526,139.4577
Murray Bridge,630,-35.1199,139.273
Mount Barker,660,-35.0667,138.8667
Adelaide,726,-34.9285,138.6007
Port Wakefield,790,-34.19,138.1
Snowtown,830,-33.7833,138.2167
Redhill,860,-33.5833,138.2
Crystal Brook,890,-33.35,138.2
Port Pirie,920,-33.191,138.016
Port Augusta,1000,-32.491,137.765
Iron Knob,1060,-32.7439,137.15
Kimba,1160,-33.1389,136.4189
Wudinna,1260,-33.05,135.4667
Minnipa,1290,-32.85,135.15
Poochera,1320,-32.7167,134.8833
Ceduna,1360,-32.126,133.662
Penong,1420,-31.9167,133
Nundroo,1460,-31.6667,132.35
Yalata,1500,-31.4722,131.8
Nullarbor Roadhouse,1560,-31.432,130.9
Border Village,1600,-31.64,129
Eucla,1610,-31.6783,128.885
Mundrabilla,1660,-31.8875,127.8875
Madura,1710,-31.9,127.05
Cocklebiddy,1760,-31.9667,126.0833
Caiguna,1810,-31.6833,125.5
Balladonia,1860,-32.3667,123.6
Norseman,2000,-32.2,121.7667
Coolgardie,2160,-30.95,121.1667
Kalgoorlie,2200,-30.7489,121.4658
Southern Cross,2360,-31.25,119.3167
Merredin,2500,-31.4828,118.2778
Kellerberrin,2560,-31.6333,117.7167
Cunderdin,2590,-31.65,117.2333
Tammin,2620,-31.6667,117.4833
Meckering,2650,-31.6367,116.9894
Northam,2700,-31.65,116.6667
Perth,3410,-31.9522,115.8614